sensor,n_points,centroid_lat,centroid_lon,max_brightness,sum_frp,max_frp,earliest_detection,latest_detection,duration_hours,centroid_area_label,dataset,region,month
modis,4,39.19725,27.6611,342.4,134.3,48.2,2025-06-29 12:40:00,2025-06-29 12:40:00,0.0,Manisa,clstrd_20250625_35d_turkey,Manisa,2025-06-01
modis,2,41.22265,27.70285,362.7,133.8,91.5,2025-07-11 12:15:00,2025-07-11 12:15:00,0.0,Tekirdag,clstrd_20250625_35d_turkey,Tekirdag,2025-07-01
viirs,10,38.295919000000005,39.045684,,132.93,33.8,2025-07-28 09:29:00,2025-07-28 11:10:00,1.6833333333333331,Malatya,clstrd_20250625_35d_turkey,Malatya,2025-07-01
viirs,7,48.590494285714286,30.822101428571425,,132.38,26.86,2023-03-09 10:22:00,2023-03-09 11:11:00,0.8166666666666667,Kirovohrad,clstrd_20221001_180d_ukraine,Kirovohrad,2023-03-01
viirs,2,38.50017,29.57788,,131.9,65.95,2025-06-27 11:13:00,2025-06-27 11:13:00,0.0,Usak,clstrd_20250625_35d_turkey,Usak,2025-06-01
viirs,5,45.72875799999999,34.607082,,128.72,48.02,2022-10-08 09:31:00,2022-10-08 11:11:00,1.6666666666666667,Crimea,clstrd_20221001_180d_ukraine,Crimea,2022-10-01
viirs,16,37.76097375,36.80955375,,125.91,12.97,2025-07-26 22:27:00,2025-07-27 00:07:00,1.6666666666666667,K. Maras,clstrd_20250625_35d_turkey,K. Maras,2025-07-01
viirs,8,47.857935,34.951465,,125.35,29.39,2023-03-05 23:00:00,2023-03-06 00:40:00,1.6666666666666667,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2023-03-01
viirs,7,37.52382428571429,35.53167571428572,,125.19,34.68,2025-07-26 10:30:00,2025-07-26 11:48:00,1.3,Adana,clstrd_20250625_35d_turkey,Adana,2025-07-01
modis,3,40.8875,33.78816666666666,327.3,124.6,54.5,2025-07-10 19:02:00,2025-07-10 19:02:00,0.0,Çankiri,clstrd_20250625_35d_turkey,Çankiri,2025-07-01
viirs,10,51.370819,31.580098,,122.59,15.13,2023-03-21 09:07:00,2023-03-21 10:47:00,1.6666666666666667,Chernihiv,clstrd_20221001_180d_ukraine,Chernihiv,2023-03-01
modis,4,39.80567500000001,32.457075,337.8,119.1,43.0,2025-07-10 07:59:00,2025-07-10 07:59:00,0.0,Ankara,clstrd_20250625_35d_turkey,Ankara,2025-07-01
viirs,5,46.990674,32.70120200000001,,118.16,50.35,2023-03-02 10:01:00,2023-03-02 10:53:00,0.8666666666666667,Mykolayiv,clstrd_20221001_180d_ukraine,Mykolayiv,2023-03-01
viirs,18,37.74585666666666,36.83656222222223,,117.28,10.49,2025-07-26 22:27:00,2025-07-27 00:30:00,2.05,K. Maras,clstrd_20250625_35d_turkey,K. Maras,2025-07-01
modis,3,49.778533333333336,37.21996666666666,342.7,116.9,55.2,2023-03-23 08:31:00,2023-03-23 08:31:00,0.0,Kharkiv,clstrd_20221001_180d_ukraine,Kharkiv,2023-03-01
viirs,8,47.75375875,37.00258124999999,,116.45,38.12,2022-12-02 09:48:00,2022-12-02 10:39:00,0.85,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2022-12-01
viirs,4,47.2869875,34.7564775,,115.98999999999998,46.12,2023-03-07 10:08:00,2023-03-07 10:59:00,0.85,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2023-03-01
viirs,7,48.19193428571429,38.30822571428571,,115.88,25.86,2023-03-13 09:55:00,2023-03-13 10:47:00,0.8666666666666667,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2023-03-01
modis,2,49.66884999999999,36.9707,329.4,114.7,61.4,2023-03-22 07:51:00,2023-03-22 07:51:00,0.0,Kharkiv,clstrd_20221001_180d_ukraine,Kharkiv,2023-03-01
viirs,2,49.796835,30.884545000000003,,114.12,63.19,2022-10-18 11:25:00,2022-10-18 11:25:00,0.0,Kiev,clstrd_20221001_180d_ukraine,Kiev,2022-10-01
viirs,5,48.19918,39.42427,,113.89,33.97,2023-03-23 10:08:00,2023-03-23 11:00:00,0.8666666666666667,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2023-03-01
modis,2,48.45675,34.66675,350.7,113.7,80.4,2023-03-15 11:03:00,2023-03-15 11:03:00,0.0,Dnipropetrovs'k,clstrd_20221001_180d_ukraine,Dnipropetrovs'k,2023-03-01
viirs,2,37.05461999999999,31.168585,,109.83,55.88,2025-07-26 11:47:00,2025-07-26 11:47:00,0.0,Antalya,clstrd_20250625_35d_turkey,Antalya,2025-07-01
modis,2,39.7935,32.453500000000005,339.2,108.5,56.8,2025-07-20 08:00:00,2025-07-20 08:00:00,0.0,Ankara,clstrd_20250625_35d_turkey,Ankara,2025-07-01
modis,3,37.51836666666666,35.53373333333334,353.6,108.2,60.7,2025-07-26 12:07:00,2025-07-26 12:07:00,0.0,Adana,clstrd_20250625_35d_turkey,Adana,2025-07-01
viirs,6,48.372185,38.29595833333334,,108.1,23.44,2023-03-25 11:11:00,2023-03-25 11:11:00,0.0,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2023-03-01
viirs,6,38.33614833333333,39.741995,,107.18,40.7,2025-07-28 11:10:00,2025-07-28 11:10:00,0.0,Diyarbakir,clstrd_20250625_35d_turkey,Diyarbakir,2025-07-01
viirs,7,48.14018142857143,38.66816857142857,,106.95000000000002,23.11,2023-03-22 09:38:00,2023-03-22 09:38:00,0.0,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2023-03-01
viirs,3,41.23009666666667,27.099063333333334,,106.5,46.56,2025-07-09 10:27:00,2025-07-09 10:50:00,0.3833333333333333,Tekirdag,clstrd_20250625_35d_turkey,Tekirdag,2025-07-01
viirs,3,39.60879,44.44852333333333,,105.79,38.93,2025-07-23 09:23:00,2025-07-23 09:46:00,0.3833333333333333,Agri,clstrd_20250625_35d_turkey,Agri,2025-07-01
viirs,11,38.080935454545454,31.55889,,104.89,14.92,2025-07-14 22:52:00,2025-07-14 23:15:00,0.3833333333333333,Isparta,clstrd_20250625_35d_turkey,Isparta,2025-07-01
modis,2,47.14815,32.81905,345.0,103.6,70.7,2023-03-20 11:18:00,2023-03-20 11:18:00,0.0,Mykolayiv,clstrd_20221001_180d_ukraine,Mykolayiv,2023-03-01
modis,2,51.36855,31.5813,325.4,103.3,55.6,2023-03-21 10:23:00,2023-03-21 10:23:00,0.0,Chernihiv,clstrd_20221001_180d_ukraine,Chernihiv,2023-03-01
